Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Date,Time,Payment,gross profit,Rating
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,29-05-2019,19:48,Cash,22.09,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,30-05-2019,15:36,Cash,11.2005,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,31-05-2019,19:39,Credit card,23.5325,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,01-06-2019,12:43,Cash,35.1315,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,02-06-2019,14:49,Cash,33.512,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,03-06-2019,10:12,Credit card,9.658,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,04-06-2019,10:42,Ewallet,19.884,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,05-06-2019,12:28,Ewallet,3.406,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,06-06-2019,19:15,Ewallet,15.655,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,07-06-2019,17:17,Ewallet,27.396,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,08-06-2019,13:24,Ewallet,21.968,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,09-06-2019,13:01,Cash,12.048,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,10-06-2019,18:45,Ewallet,4.336,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,11-06-2019,10:11,Cash,5.611,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,12-06-2019,13:03,Cash,20.736,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,13-06-2019,20:39,Cash,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,14-06-2019,19:47,Cash,1.537,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,15-06-2019,18:00,Cash,18.792,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,16-06-2019,17:24,Credit card,25.5105,8.4
727-46-3608,B,Mandalay,Member,,Food and beverages,20.01,9,17-06-2019,15:47,Ewallet,9.0045,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,18-06-2019,12:45,Credit card,5.679,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,19-06-2019,17:08,Ewallet,41.315,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,20-06-2019,10:19,Cash,31.99,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,21-06-2019,15:10,Cash,11.1475,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,22-06-2019,14:42,Ewallet,3.574,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,,1,23-06-2019,15:46,Credit card,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,24-06-2019,11:49,Ewallet,1.616,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,25-06-2019,19:01,Cash,34.392,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,26-06-2019,11:26,Cash,4.434,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,27-06-2019,11:28,Ewallet,35.84,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,28-06-2019,15:55,Cash,36.175,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,29-06-2019,20:36,Cash,9.183,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,30-06-2019,17:47,Credit card,3.711,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,01-07-2019,10:55,Ewallet,16.719,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,02-07-2019,13:40,Ewallet,24.7815,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,03-07-2019,12:27,Credit card,7.905,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,04-07-2019,14:35,Cash,15.148,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,05-07-2019,16:40,Cash,7.935,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,06-07-2019,15:43,Ewallet,3.347,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,07-07-2019,15:01,Ewallet,29.283,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,08-07-2019,10:04,Cash,39.385,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,09-07-2019,18:50,Cash,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,10-07-2019,12:46,Credit card,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,11-07-2019,16:19,Cash,31.06,5.9
510-95-6347,B,Mandalay,Member,,Food and beverages,48.52,3,12-07-2019,18:17,Ewallet,7.278,4
841-35-6630,C,Naypyitaw,Normal,,Electronic accessories,75.91,6,13-07-2019,18:21,Cash,22.773,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,14-07-2019,10:55,Ewallet,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,15-07-2019,17:04,Credit card,20.825,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,16-07-2019,14:20,Credit card,22.068,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,17-07-2019,15:48,Credit card,9.0045,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,18-07-2019,16:24,Ewallet,39.155,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,19-07-2019,18:56,Cash,5.095,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,20-07-2019,14:42,Credit card,29.757,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,21-07-2019,19:56,Ewallet,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,,8,22-07-2019,18:37,Ewallet,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,,4,23-07-2019,18:45,Credit card,16.072,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,,5,24-07-2019,10:17,Cash,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,25-07-2019,14:31,Ewallet,29.071,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,26-07-2019,10:23,Cash,19.13,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,27-07-2019,20:35,Credit card,17.283,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,28-07-2019,16:57,Cash,2.1235,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,29-07-2019,17:55,Cash,23.097,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,30-07-2019,10:25,Cash,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,31-07-2019,19:54,Ewallet,22.43,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,01-08-2019,16:42,Ewallet,7.693,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,02-08-2019,12:09,Credit card,28.962,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,03-08-2019,20:05,Credit card,4.4875,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,04-08-2019,20:38,Ewallet,4.858,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,05-08-2019,10:25,Ewallet,43.935,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,06-08-2019,13:11,Cash,3.735,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,07-08-2019,10:16,Ewallet,7.9125,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,08-08-2019,18:14,Cash,24.81,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,09-08-2019,19:20,Cash,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,10-08-2019,13:22,Cash,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,11-08-2019,11:27,Cash,10.3815,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,12-08-2019,16:44,Cash,17.478,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,13-08-2019,18:19,Cash,10.6225,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,14-08-2019,14:50,Ewallet,44.335,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,15-08-2019,20:54,Credit card,8.214,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,16-08-2019,20:19,Cash,18.639,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,,9,17-08-2019,10:43,Cash,15.291,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,18-08-2019,14:30,Cash,40.985,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,19-08-2019,11:32,Ewallet,1.649,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,20-08-2019,10:41,Credit card,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,21-08-2019,12:44,Cash,25.494,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,22-08-2019,20:07,Ewallet,26.1315,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,23-08-2019,20:31,Credit card,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,24-08-2019,13:01,Credit card,4.053,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,25-08-2019,12:29,Ewallet,5.485,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,26-08-2019,15:26,Ewallet,2.568,5.2
642-32-2990,A,Yangon,Normal,,Food and beverages,10.96,10,27-08-2019,20:48,Ewallet,5.48,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,28-08-2019,20:38,Ewallet,5.344,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,29-08-2019,17:03,Credit card,39.824,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,30-08-2019,12:02,Credit card,19.992,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,31-08-2019,17:26,Credit card,44.982,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,01-09-2019,19:52,Credit card,25.564,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,02-09-2019,14:57,Ewallet,22.588,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,03-09-2019,18:44,Credit card,32.7915,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,04-09-2019,13:26,Cash,8.0625,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,05-09-2019,16:17,Credit card,14.2785,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,06-09-2019,15:57,Ewallet,27.416,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,,9,07-09-2019,11:15,Ewallet,40.626,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,08-09-2019,13:18,Cash,13.867,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,09-09-2019,20:34,Cash,27.639,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,10-09-2019,18:36,Cash,6.968,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,11-09-2019,14:40,Credit card,26.235,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,12-09-2019,16:43,Ewallet,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13-09-2019,19:39,Cash,13.533,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,14-09-2019,20:59,Credit card,6.5775,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,15-09-2019,15:39,Cash,10.326,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,16-09-2019,12:21,Cash,25.955,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,17-09-2019,19:25,Ewallet,29,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,18-09-2019,13:00,Credit card,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,19-09-2019,13:48,Cash,45.25,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,20-09-2019,19:57,Cash,34.3,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,21-09-2019,10:36,Credit card,1.5205,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,22-09-2019,16:37,Ewallet,23.385,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,23-09-2019,17:11,Credit card,13.878,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,24-09-2019,12:28,Ewallet,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,,Health and beauty,66.14,4,25-09-2019,12:46,Credit card,13.228,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,26-09-2019,15:07,Credit card,28.744,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,27-09-2019,13:48,Credit card,12.984,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,28-09-2019,19:20,Credit card,18.308,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,29-09-2019,16:07,Credit card,12.096,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,30-09-2019,11:56,Credit card,37.458,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,01-10-2019,18:23,Ewallet,4.944,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,,8,02-10-2019,13:05,Cash,32.388,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,03-10-2019,15:55,Credit card,23.0725,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,04-10-2019,19:40,Cash,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,05-10-2019,13:58,Ewallet,12.57,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,06-10-2019,14:43,Ewallet,43.749,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,07-10-2019,19:18,Ewallet,28.017,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,08-10-2019,19:39,Credit card,17.272,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,09-10-2019,16:21,Cash,3.1845,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,10-10-2019,19:44,Credit card,16.0265,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,11-10-2019,19:42,Ewallet,7.64,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,12-10-2019,15:24,Credit card,19.95,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,13-10-2019,14:12,Ewallet,17.028,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,14-10-2019,13:32,Cash,47.79,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,15-10-2019,16:20,Credit card,49.49,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,16-10-2019,16:31,Cash,15.384,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,17-10-2019,15:10,Credit card,24.332,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,18-10-2019,11:36,Ewallet,17.5025,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,19-10-2019,12:45,Credit card,20.0125,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,20-10-2019,19:17,Cash,8.34,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,21-10-2019,17:34,Credit card,15.867,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,22-10-2019,12:04,Ewallet,7.916,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,23-10-2019,16:21,Ewallet,15.228,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,24-10-2019,17:01,Credit card,8.868,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,25-10-2019,10:50,Credit card,7.8785,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,26-10-2019,19:16,Ewallet,22.164,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,27-10-2019,16:47,Ewallet,13.02,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,28-10-2019,10:00,Cash,22.491,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,29-10-2019,11:51,Cash,15.388,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,30-10-2019,10:55,Ewallet,7.75,8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,31-10-2019,15:00,Ewallet,13.724,5.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,,7,01-11-2019,11:19,Credit card,4.319,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,02-11-2019,19:46,Ewallet,2.712,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,03-11-2019,19:00,Ewallet,37.796,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,04-11-2019,10:53,Cash,9.294,7
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,05-11-2019,12:50,Ewallet,3.7035,9.9
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,06-11-2019,20:50,Credit card,13.962,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,07-11-2019,10:39,Credit card,11.556,7.2
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,08-11-2019,13:41,Ewallet,7.352,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,09-11-2019,19:08,Cash,39.51,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,10-11-2019,20:23,Ewallet,5.11,5.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,11-11-2019,11:30,Credit card,8.1775,9.9
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,12-11-2019,19:30,Cash,3.7145,5
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,13-11-2019,18:03,Cash,4.37,4.9
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,14-11-2019,10:13,Ewallet,1.2645,6.1
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,15-11-2019,19:58,Credit card,8.3,8.2
420-11-4919,C,Naypyitaw,Member,,Food and beverages,71.39,5,16-11-2019,19:57,Credit card,17.8475,5.5
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,17-11-2019,10:01,Credit card,5.745,6.8
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,18-11-2019,11:57,Cash,11.498,6.6
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,19-11-2019,10:02,Cash,21.4935,9.8
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,20-11-2019,14:51,Ewallet,12.95,8.7
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,21-11-2019,12:42,Credit card,4.4425,5.4
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,22-11-2019,12:02,Ewallet,10.3635,7.9
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,23-11-2019,18:19,Credit card,29.9925,9.7
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,24-11-2019,17:38,Ewallet,14.265,7.8
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,,3,25-11-2019,13:41,Ewallet,4.5555,5.1
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,26-11-2019,19:42,Credit card,44.8785,6.5
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,27-11-2019,20:24,Ewallet,11.8035,5.9
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,28-11-2019,18:08,Cash,41.967,8.8
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,29-11-2019,19:17,Ewallet,23.09,4.9
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,30-11-2019,13:24,Credit card,6.963,4.4
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,01-12-2019,15:53,Cash,10.3635,6.5
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,02-12-2019,15:05,Credit card,0.914,8.3
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,03-12-2019,18:27,Cash,6.1925,8.5
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,04-12-2019,16:55,Cash,14.196,5.5
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,05-12-2019,12:58,Ewallet,37.948,8.7
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,06-12-2019,18:59,Credit card,8.601,7.9
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,07-12-2019,13:44,Ewallet,13.605,6.1
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,08-12-2019,13:46,Ewallet,21.728,5.4
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,09-12-2019,18:06,Cash,2.9525,9.4
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,10-12-2019,12:38,Cash,0.627,8.2
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,11-12-2019,15:56,Cash,4.325,6.2
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,12-12-2019,14:29,Credit card,8.716,9.7
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,13-12-2019,19:14,Ewallet,31.2165,4
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,14-12-2019,16:24,Ewallet,7.412,9.7
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6,15-12-2019,10:52,Cash,27.21,5.3
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,16-12-2019,12:55,Ewallet,25.368,7.4
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,17-12-2019,19:28,Cash,8.137,6.5
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,18-12-2019,13:52,Credit card,1.5885,8.7
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,19-12-2019,10:54,Cash,37.8405,8
